division,date,RaceData01_time,area,race_no,umaban,horse_name,y_pred_value,y_pred_rank,odds_2,race_id
region,2022-11-28,14:05発走,水沢,8,6,サマニー,58.28260740392382,2.0,,202236112808
region,2022-11-28,14:05発走,水沢,8,7,イヴァルディ,57.263086259298575,3.0,,202236112808
region,2022-11-28,14:05発走,水沢,8,1,シェーンフォレスト,50.35244029639414,4.0,,202236112808
region,2022-11-28,14:05発走,水沢,8,5,エースオブエース,49.86551933044913,5.0,,202236112808
region,2022-11-28,14:05発走,水沢,8,2,マリンディーヴァ,48.048710876188295,6.0,,202236112808
region,2022-11-28,14:05発走,水沢,8,4,スカイルーク,47.9485127710378,7.0,,202236112808
region,2022-11-28,14:05発走,水沢,8,3,タイセイルージュ,29.035220112726403,8.0,,202236112808
region,2022-11-28,14:25発走,金沢,7,4,サクラオーラ,70.93157810694645,1.0,,202246112807
region,2022-11-28,14:25発走,金沢,7,6,キープオンラビン,60.205145554706505,2.0,,202246112807
region,2022-11-28,14:25発走,金沢,7,1,シオジレア,50.50443603448552,3.0,,202246112807
region,2022-11-28,14:25発走,金沢,7,3,ムーンライトアリア,47.460913284519705,4.0,,202246112807
region,2022-11-28,14:25発走,金沢,7,7,ブーゲンビリア,46.97671356233943,5.0,,202246112807
region,2022-11-28,14:25発走,金沢,7,9,ロジシップ,46.52415664737674,6.0,,202246112807
region,2022-11-28,14:25発走,金沢,7,5,ハーモニーロータス,44.50888802601449,7.0,,202246112807
region,2022-11-28,14:25発走,金沢,7,8,ジーハーモニー,43.75521034686284,8.0,,202246112807
region,2022-11-28,14:25発走,金沢,7,2,ピノーク,39.13295843674831,9.0,,202246112807
region,2022-11-28,14:40発走,水沢,9,2,アレクサンドロス,62.3738282113288,1.0,,202236112809
region,2022-11-28,14:40発走,水沢,9,10,トゥジアース,62.19137824427474,2.0,,202236112809
region,2022-11-28,14:40発走,水沢,9,5,ナンデフェスティヴ,59.34182160764396,3.0,,202236112809
